Trial ID,Hidden layers,Hidden units,Dense layers,Activation,Score,Pitch Accuracy,Vertical Accuracy,Horizontal Accuracy
05,3,128,1,sigmoid,-1.9177896976470947,0.5943396091461182,0.6819406747817993,0.6415094137191772
03,1,256,1,sigmoid,-1.907681941986084,0.5879380106925964,0.6731805801391602,0.6465633511543274
07,1,128,1,sigmoid,-1.896900236606598,0.5758086442947388,0.6752021312713623,0.6458894610404968
06,3,128,2,relu,-1.8908355832099915,0.5869272351264954,0.6708220839500427,0.6330862641334534
01,2,256,2,elu,-1.8871293663978577,0.6121967434883118,0.6310647130012512,0.6438679099082947
04,1,256,2,tanh,-1.8830862045288086,0.5842317938804626,0.6559972763061523,0.6428571343421936
09,3,512,2,relu,-1.8756738305091858,0.6030997037887573,0.664420485496521,0.6081536412239075
00,3,512,1,tanh,-1.8618597984313965,0.5929918885231018,0.6533018946647644,0.6155660152435303
02,2,512,3,relu,-1.801886796951294,0.5633423328399658,0.6354447603225708,0.6030997037887573
08,2,512,3,sigmoid,-1.596024215221405,0.3962264060974121,0.6169137358665466,0.5828840732574463
